image_id,caption,caption_nepali
1.jpg,Girl with fake mustache and eyebrows,नक्कली जुँगा र भौंहरू भएको केटी
2.jpg,Three boys smiling at the camera,तीन केटाहरू क्यामेरामा मुस्कुराउँदै
3.jpg,A happy couple,सुखी जोडी
4.jpg,Girl dancing in traditional attire,परम्परागत पोशाकमा नाच्दै केटी
5.jpg,Boy wearing glasses writing on a copy,चश्मा लगाएको केटा प्रतिलिपिमा लेख्दै
6.jpg,Cat playing with a flower,बिरालो फूलसँग खेल्दै
7.jpg,Pouring milk on Oreo biscuits,ओरियो बिस्कुटमा दूध खन्याउदै
8.jpg,A shelter with many guinea pigs,धेरै गिनी सुँगुरहरु संग एक आश्रय
9.jpg,Hand holding three beautiful flowers,तीनवटा सुन्दर फूल समातेको हात
10.jpg,Drone flying on the street,सडकमा उडिरहेको ड्रोन
11.jpg,Bus parked in front of a house,एउटा घर अगाडि बस रोकियो
12.jpg,A view of a beautiful peak,सुन्दर शिखरको दृश्य
13.jpg,Children playing football on the field,मैदानमा फुटबल खेल्दै बालबालिका
14.jpg,Girls playing hockey on the field,मैदानमा हक्की खेल्दै केटीहरू
15.jpg,Three boys playing American football,तीन केटाहरू अमेरिकी फुटबल खेल्दै
16.jpg,Football players playing football,फुटबल खेलाडीहरू फुटबल खेल्दै
17.jpg,Bear playing in muddy water,हिलो पानीमा खेलिरहेको भालु
18.jpg,Sheep looking at the camera,भेडा क्यामेरा हेर्दै
19.jpg,Player playing basketball,खेलाडी बास्केटबल खेल्दै
20.jpg,Tiger swimming in the river,खोलामा पौडी खेल्दै बाघ
21.jpg,Two kickboxers fighting in the ring,दुई किकबक्सरहरू रिंगमा लडिरहेका छन्
22.jpg,Warriors fighting in a battle,युद्धमा लडिरहेका योद्धाहरू
23.jpg,Two roosters fighting,दुई भाले लडिरहेका छन्
24.jpg,A jaguar killing a crocodile in the river,नदीमा गोही मार्दै जागुआर
25.jpg,Baby crying on camera,क्यामेरामा रोइरहेको बच्चा
26.jpg,People working together in an office,कार्यालयमा सँगै काम गर्ने मानिसहरू
27.jpg,Three women discussing,छलफल गर्दै तीन महिला
28.jpg,Monkey playing guitar,बाँदर गितार बजाउँदै
29.jpg,Workers working in a factory,कारखानामा काम गर्ने मजदुरहरू
30.jpg,A man showing a gun,एउटा मानिस बन्दुक देखाउँदै
31.jpg,People dancing at a party,पार्टीमा नाचिरहेका मानिसहरू
32.jpg,A funny man showing a banana like a gun,एक रमाइलो मान्छे बन्दुक जस्तै केरा देखाउँदै
33.jpg,A happy man holding a pineapple,अनानास समातेको खुसी मानिस
34.jpg,A man playing drums,ड्रम बजाउने मान्छे
35.jpg,Old broken Nokia phone,पुरानो टुटेको नोकिया फोन
36.jpg,Players playing cricket on the pitch,पिचमा क्रिकेट खेलिरहेका खेलाडीहरू
37.jpg,Dog wearing a watermelon hat,तरबूजको टोपी लगाएको कुकुर
38.jpg,Two people skydiving,दुई जना स्काइडाइभिङ गर्दै
