image_id,caption
1.jpg,Girl with fake mustache and eyebrows
2.jpg,Three boys smiling at the camera
3.jpg,A happy couple
4.jpg,Girl dancing in traditional attire
5.jpg,Boy wearing glasses writing on a copy
6.jpg,Cat playing with a flower
7.jpg,Pouring milk on Oreo biscuits
8.jpg,A shelter with many guinea pigs
9.jpg,Hand holding three beautiful flowers
10.jpg,Drone flying on the street
11.jpg,Bus parked in front of a house
12.jpg,A view of a beautiful peak
13.jpg,Children playing football on the field
14.jpg,Girls playing hockey on the field
15.jpg,Three boys playing American football
16.jpg,Football players playing football
17.jpg,Bear playing in muddy water
18.jpg,Sheep looking at the camera
19.jpg,Player playing basketball
20.jpg,Tiger swimming in the river
21.jpg,Two kickboxers fighting in the ring
22.jpg,Warriors fighting in a battle
23.jpg,Two roosters fighting
24.jpg,A jaguar killing a crocodile in the river
25.jpg,Baby crying on camera
26.jpg,People working together in an office
27.jpg,Three women discussing
28.jpg,Monkey playing guitar
29.jpg,Workers working in a factory
30.jpg,A man showing a gun
31.jpg,People dancing at a party
32.jpg,A funny man showing a banana like a gun
33.jpg,A happy man holding a pineapple
34.jpg,A man playing drums
35.jpg,Old broken Nokia phone
36.jpg,Players playing cricket on the pitch
37.jpg,Dog wearing a watermelon hat
38.jpg,Two people skydiving
39.jpg,Launching a big ship in the water
40.jpg,People fishing in the sea
41.jpg,Dog wearing a blanket
42.jpg,People enjoying the rain
43.jpg,A man happily riding his bicycle
44.jpg,Mother carrying her baby
45.jpg,A girl playing her guitar on the street
46.jpg,Crow stealing food from a dog’s bowl
47.jpg,An airplane in the middle of the jungle
48.jpg,Alligator walking on a golf course
49.jpg,A girl lying on the floor in a room
50.jpg,Three chickens standing at the window
51.jpeg,A baby eating a big cookie wearing a blue jacket and orange sleeves
52.jpeg,A lone tree standing by the seaside under a blue sky
53.jpeg,A person with a camera taking photos during a golden sunset
54.jpeg,A little girl smiling against a bright blue background
55.jpeg,A cheesy burger with fries and a drink
56.jpeg,A beautiful purple flower
57.jpeg,Three children standing with serious expressions
58.jpeg,"The king of the jungle, a lion, resting in its territory"
59.jpeg,Two small children holding hands and smiling as the sun sets
60.jpeg,An airplane flying in the sky
61.jpeg,A man riding a bike on the street
62.jpeg,A dog smiling at the camera
63.jpeg,A man washing his hands at a tap
64.jpeg,Two men dressed as Spiderman
65.jpeg,A red car speeding on the road
66.jpeg,An orange cat looking at the camera
67.jpeg,An old house between trees in a field
68.jpeg,A tiger looking at the camera
69.jpeg,A male peacock with beautiful feather
70.jpeg,A girl holding a dog’s paw
71.jpeg,A chair inside a dark warehouse
72.jpeg,A digital image showing the solar system
73.jpeg,A beautiful view of the Taj Mahal
74.jpeg,An open book on the floor
75.jpeg,A man showing his money
76.jpeg,A dog playing in the river
77.jpeg,A sunrise view behind a coconut tree
78.jpeg,A bird standing on a tree branch
79.jpeg,Various types of fruits on a table
80.jpeg,A beautiful view of a mountain peak
